,InvoiceYearMonth,UserType,Revenue
0,201012,New,554604.0200000214
1,201101,Existing,271616.520000002
2,201101,New,203457.86000000164
3,201102,Existing,287024.7700000031
4,201102,New,149521.37999999954
5,201103,Existing,390034.53000001004
6,201103,New,189930.07999999906
7,201104,Existing,306283.6000000055
8,201104,New,119764.25099999878
9,201105,Existing,532392.3400000054
10,201105,New,115858.73999999942
11,201106,Existing,515486.65000001097
12,201106,New,92526.50999999965
13,201107,Existing,508355.61000000685
14,201107,New,65882.8709999999
15,201108,Existing,538709.7700000085
16,201108,New,77658.22999999984
17,201109,Existing,778161.7809999973
18,201109,New,153278.5909999994
19,201110,Existing,819672.8999999939
20,201110,New,154930.68999999942
21,201111,Existing,998176.3599999816
22,201111,New,134231.3799999984
23,201112,Existing,315729.6300000034
24,201112,New,26776.750000000025
